day_index,date,day_of_week,month,usage_gb,pct_change_prev_day
70,2026-01-25,Sunday,January,13.36,10.6877
71,2026-01-26,Monday,January,7.90,-40.8683
72,2026-01-27,Tuesday,January,12.15,53.7975
73,2026-01-28,Wednesday,January,5.94,-51.1111
74,2026-01-29,Thursday,January,7.09,19.3603
75,2026-01-30,Friday,January,8.77,23.6953
76,2026-01-31,Saturday,January,14.29,62.9418
77,2026-02-01,Sunday,February,4.63,-67.5997
78,2026-02-02,Monday,February,6.86,48.1641
79,2026-02-03,Tuesday,February,5.74,-16.3265
80,2026-02-04,Wednesday,February,4.36,-24.0418
81,2026-02-05,Thursday,February,4.03,-7.5688
82,2026-02-06,Friday,February,3.04,-24.5658
83,2026-02-07,Saturday,February,9.12,200.0000
84,2026-02-08,Sunday,February,2.37,-74.0132
85,2026-02-09,Monday,February,0.88,-62.8692
86,2026-02-10,Tuesday,February,1.22,38.6364
87,2026-02-11,Wednesday,February,7.83,541.8033
88,2026-02-12,Thursday,February,4.12,-47.3819
89,2026-02-13,Friday,February,8.81,113.8350
90,2026-02-14,Saturday,February,4.19,-52.4404
91,2026-02-15,Sunday,February,2.39,-42.9594
92,2026-02-16,Monday,February,4.27,78.6611
93,2026-02-17,Tuesday,February,2.57,-39.8126
94,2026-02-18,Wednesday,February,7.13,177.4319
95,2026-02-19,Thursday,February,3.88,-45.5820
96,2026-02-20,Friday,February,5.00,28.8660
97,2026-02-21,Saturday,February,2.08,-58.4000
98,2026-02-22,Sunday,February,4.96,138.4615
99,2026-02-23,Monday,February,1.91,-61.4919
100,2026-02-24,Tuesday,February,5.09,166.4921
101,2026-02-25,Wednesday,February,3.41,-33.0059
102,2026-02-26,Thursday,February,2.96,-13.1965
103,2026-02-27,Friday,February,4.02,35.8108
104,2026-02-28,Saturday,February,3.90,-2.9851
105,2026-03-01,Sunday,March,2.52,-35.3846
106,2026-03-02,Monday,March,6.66,164.2857
107,2026-03-03,Tuesday,March,2.32,-65.1652
108,2026-03-04,Wednesday,March,2.38,2.5862
109,2026-03-05,Thursday,March,4.61,93.6975
110,2026-03-06,Friday,March,2.18,-52.7115
111,2026-03-07,Saturday,March,3.51,61.0092
112,2026-03-08,Sunday,March,2.80,-20.2279
113,2026-03-09,Monday,March,3.20,14.2857
114,2026-03-10,Tuesday,March,2.25,-29.6875
115,2026-03-11,Wednesday,March,1.25,-44.4444
116,2026-03-12,Thursday,March,1.89,51.2000
117,2026-03-13,Friday,March,3.47,83.5979
118,2026-03-14,Saturday,March,0.90,-74.0634
119,2026-03-15,Sunday,March,1.86,106.6667
120,2026-03-16,Monday,March,2.52,35.4839
121,2026-03-17,Tuesday,March,5.78,129.3651
122,2026-03-18,Wednesday,March,5.51,-4.6713
123,2026-03-19,Thursday,March,5.97,8.3485
124,2026-03-20,Friday,March,2.59,-56.6164
125,2026-03-21,Saturday,March,7.55,191.5058
126,2026-03-22,Sunday,March,13.01,72.3179
127,2026-03-23,Monday,March,12.43,-4.4581
128,2026-03-24,Tuesday,March,8.73,-29.7667
129,2026-03-25,Wednesday,March,14.52,66.3230
130,2026-03-26,Thursday,March,10.95,-24.5868
131,2026-03-27,Friday,March,14.95,36.5297
132,2026-03-28,Saturday,March,7.09,-52.5753
133,2026-03-29,Sunday,March,15.59,119.8872
134,2026-03-30,Monday,March,13.62,-12.6363
135,2026-03-31,Tuesday,March,14.62,7.3421
136,2026-04-01,Wednesday,April,30.23,106.7715
137,2026-04-02,Thursday,April,18.77,-37.9094
138,2026-04-03,Friday,April,23.01,22.5892
139,2026-04-04,Saturday,April,25.73,11.8209
140,2026-04-05,Sunday,April,25.51,-0.8550
141,2026-04-06,Monday,April,33.01,29.4002
142,2026-04-07,Tuesday,April,21.21,-35.7467
143,2026-04-08,Wednesday,April,16.84,-20.6035
144,2026-04-09,Thursday,April,16.90,0.3563
145,2026-04-10,Friday,April,12.68,-24.9704
146,2026-04-11,Saturday,April,4.61,-63.6435
147,2026-04-12,Sunday,April,10.37,124.9458
148,2026-04-13,Monday,April,16.48,58.9200
149,2026-04-14,Tuesday,April,14.24,-13.5922
150,2026-04-15,Wednesday,April,16.63,16.7837
151,2026-04-16,Thursday,April,11.53,-30.6675
152,2026-04-17,Friday,April,22.75,97.3114
153,2026-04-18,Saturday,April,18.51,-18.6374
154,2026-04-19,Sunday,April,9.45,-48.9465
155,2026-04-20,Monday,April,16.46,74.1799
156,2026-04-21,Tuesday,April,14.15,-14.0340
157,2026-04-22,Wednesday,April,17.33,22.4735
158,2026-04-23,Thursday,April,16.06,-7.3283
159,2026-04-24,Friday,April,19.52,21.5442
160,2026-04-25,Saturday,April,16.43,-15.8299
161,2026-04-26,Sunday,April,20.51,24.8326
162,2026-04-27,Monday,April,12.19,-40.5656
163,2026-04-28,Tuesday,April,13.23,8.5316
164,2026-04-29,Wednesday,April,14.07,6.3492
165,2026-04-30,Thursday,April,9.57,-31.9829
166,2026-05-01,Friday,May,12.05,25.9143
167,2026-05-02,Saturday,May,14.57,20.9129
168,2026-05-03,Sunday,May,12.87,-11.6678
169,2026-05-04,Monday,May,12.63,-1.8648
170,2026-05-05,Tuesday,May,7.11,-43.7055
171,2026-05-06,Wednesday,May,8.53,19.9719
172,2026-05-07,Thursday,May,19.44,127.9015
173,2026-05-08,Friday,May,15.39,-20.8333
174,2026-05-09,Saturday,May,13.54,-12.0208
175,2026-05-10,Sunday,May,4.95,-63.4417
176,2026-05-11,Monday,May,17.27,248.8889
177,2026-05-12,Tuesday,May,21.65,25.3619
178,2026-05-13,Wednesday,May,21.42,-1.0624
179,2026-05-14,Thursday,May,5.90,-72.4556
180,2026-05-15,Friday,May,22.35,278.8136
181,2026-05-16,Saturday,May,28.78,28.7696
182,2026-05-17,Sunday,May,45.09,56.6713
183,2026-05-18,Monday,May,9.83,-78.1992
184,2026-05-19,Tuesday,May,16.02,62.9705
185,2026-05-20,Wednesday,May,18.11,13.0462
186,2026-05-21,Thursday,May,24.25,33.9039
187,2026-05-22,Friday,May,30.94,27.5876
188,2026-05-23,Saturday,May,17.71,-42.7602
189,2026-05-24,Sunday,May,21.72,22.6426
190,2026-05-25,Monday,May,8.04,-62.9834
191,2026-05-26,Tuesday,May,9.33,16.0448
192,2026-05-27,Wednesday,May,16.47,76.5273
193,2026-05-28,Thursday,May,20.87,26.7152
194,2026-05-29,Friday,May,24.89,19.2621
195,2026-05-30,Saturday,May,32.08,28.8871
196,2026-05-31,Sunday,May,13.17,-58.9464
197,2026-06-01,Monday,June,16.15,22.6272
198,2026-06-02,Tuesday,June,35.02,116.8421
199,2026-06-03,Wednesday,June,1.23,-96.4877
200,2026-06-04,Thursday,June,0.00,-100.0000
201,2026-06-05,Friday,June,0.00,NaN
202,2026-06-06,Saturday,June,0.00,NaN
203,2026-06-07,Sunday,June,0.00,NaN
204,2026-06-08,Monday,June,0.00,NaN
205,2026-06-09,Tuesday,June,0.00,NaN
206,2026-06-10,Wednesday,June,0.00,NaN
207,2026-06-11,Thursday,June,0.00,NaN
208,2026-06-12,Friday,June,0.00,NaN
209,2026-06-13,Saturday,June,0.00,NaN
210,2026-06-14,Sunday,June,0.00,NaN
211,2026-06-15,Monday,June,0.00,NaN
212,2026-06-16,Tuesday,June,0.00,NaN
